CAT,CAT NAME (PT),F/R,L/R,U/L,I/O,MODEL,MDL NO,CROSS,CAR,MODEL,ANO DE I.,ANO FI.,TRSS,FRAME,ENGINE,SIZE,REMARK,PART NO.
CAB,CASQUILHOS DO TRIANGULO,,,U,O,DYN95,068M,HIA92,TOYOTA,DYNA ,1995,1999,,LY230,,,,CAB085M158
CAB,CASQUILHOS DO TRIANGULO,,,U,O,HIA92,085M,,TOYOTA,HIACE,1992,2004,,LH107,,,,CAB085M158
CAB,CASQUILHOS DO TRIANGULO,,,U,O,HIL95,094M,HIA92,TOYOTA,HILUX,1995,1997,,LN106,,,,CAB085M158
CAB,CASQUILHOS DO TRIANGULO,,,U,O,HIL97,095M,HIA92,TOYOTA,HILUX,1997,2004,,LN106,,,,CAB085M158
CAB,CASQUILHOS DO TRIANGULO,,,L,I,DYN95,068M,HIA92,TOYOTA,DYNA ,1995,1999,,LY230,,,,CAB085M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,HIA92,085M,,TOYOTA,HIACE,1992,2004,,LH107,,,,CAB085M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,HIL95,094M,HIA92,TOYOTA,HILUX,1995,1997,,LN106,,,,CAB085M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,HIL97,095M,HIA92,TOYOTA,HILUX,1997,2004,,LN106,,,,CAB085M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,QUA04,155L,HIA92,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CAB085M167
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,DYN95,068M,HIA92,TOYOTA,DYNA ,1995,1999,,LY230,,,,CAB085M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,HIA92,085M,,TOYOTA,HIACE,1992,2004,,LH107,,,,CAB085M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,HIL95,094M,HIA92,TOYOTA,HILUX,1995,1997,,LN106,,,,CAB085M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,HIL97,095M,HIA92,TOYOTA,HILUX,1997,2004,,LN106,,,,CAB085M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,QUA04,155L,HIA92,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CAB085M1678
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,FOR05,072V,HIL05,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,CAB091V1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,LAN08,106L,HIL05,TOYOTA,LAND CRUISER,2008,2021,,URJ200,,,,CAB091V1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,PRA12,146U,HIL05,TOYOTA,PRADO,2012,2024,,GRJ151W-GKAZK,,,,CAB091V1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,CAB091V1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,HIL05,091V,FOR05,TOYOTA,HILUX,2005,2015,,KUN25,,,,CAB091V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,LAN08,106L,HIL05,TOYOTA,LAND CRUISER,2008,2021,,URJ200,,,,CAB091V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,PRA12,146U,HIL05,TOYOTA,PRADO,2012,2024,,GRJ151W-GKAZK,,,,CAB091V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,CAB091V167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FOR05,072V,HIL05,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,CAB091V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,LAN08,106L,HIL05,TOYOTA,LAND CRUISER,2008,2021,,URJ200,,,,CAB091V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,PRA02,145V,HIL05,TOYOTA,PRADO,2002,2009,,KZJ95,,,,CAB091V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,PRA12,146U,HIL05,TOYOTA,PRADO,2012,2024,,GRJ151W-GKAZK,,,,CAB091V168
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,LAN90,107M,,TOYOTA,LAND CRUISER,1990,1997,,FJ80,,,,CAB107M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,I,IS250,102V,MAR05,LEXUS,IS250,2005,2013,,,,,,CAB118V367
CAB,CASQUILHOS DO TRIANGULO,,,L,I,MAR05,118V,,TOYOTA,MARK X,2005,2017,,GSE20-AETLH,,,,CAB118V367
CAB,CASQUILHOS DO TRIANGULO,,,L,I,MAR054W,119V,MAR05,TOYOTA,MARK X,2005,2009,,GSE25-AETLH,,,,CAB118V367
CAB,CASQUILHOS DO TRIANGULO,,,U,I,LIT96,114M,NOA98,TOYOTA,LITEACE ,1996,2007,,YR21,,,,CAB126M157
CAB,CASQUILHOS DO TRIANGULO,,,U,I,NOA98,126M,,TOYOTA,NOAH ,1998,2001,,SR40,,,,CAB126M157
CAB,CASQUILHOS DO TRIANGULO,,,U,I,NOA984W,127M,NOA98,TOYOTA,NOAH ,1998,2001,,CR40G,,,,CAB126M157
CAB,CASQUILHOS DO TRIANGULO,,,U,I,TOW98,211M,NOA98,TOYOTA,TOWNACE,1998,2007,,CR42,,,,CAB126M157
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,PRA02,145V,HIL05,TOYOTA,PRADO,2002,2009,,KZJ95,,,,CAB145V1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,PRA02,145V,HIL05,TOYOTA,PRADO,2002,2009,,KZJ95,,,,CAB145V167
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,147M,,,TOYOTA,PRADO,1996,2002,,KZJ90,,,,CAB147M1578
CAB,CASQUILHOS DO TRIANGULO,,,U,O,QUA04,155L,HIA92,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CAB155L134
CAB,CASQUILHOS DO TRIANGULO,,,U,O,TOY92,212M,QUA04,TOYOTA,TOYOACE ,1992,2024,,YR21,,,,CAB155L134
CAB,CASQUILHOS DO TRIANGULO,,,U,I,QUA04,155L,HIA92,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CAB155L157
CAB,CASQUILHOS DO TRIANGULO,,,U,I,TOY92,212M,QUA04,TOYOTA,TOYOACE ,1992,2024,,YR21,,,,CAB155L157
CAB,CASQUILHOS DO TRIANGULO,,,U,O,155L,,,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CAB155L158
CAB,CASQUILHOS DO TRIANGULO,,,L,I,BEL05,036L,RAC05,TOYOTA,BELTA,2005,2016,,SCP92,,,,CAB161L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,IST07,104L,RAC05,TOYOTA,IST,2007,2016,,ZSP110,,,,CAB161L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RAC05,161L,,TOYOTA,RACTIS,2005,2010,,NCP100,,,,CAB161L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,SIE03,191L,RAC05,TOYOTA,SIENTA,2003,2015,,NCP81G,,,,CAB221M167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,BEL05,036L,RAC05,TOYOTA,BELTA,2005,2016,,SCP92,,,,CAB161L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,IST07,104L,RAC05,TOYOTA,IST,2007,2016,,ZSP110,,,,CAB161L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,RAC05,161L,,TOYOTA,RACTIS,2005,2010,,NCP100,,,,CAB161L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,SIE03,191L,RAC05,TOYOTA,SIENTA,2003,2015,,NCP81G,,,,CAB221M168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,168L,,,TOYOTA,RAV4,2001,2005,,,,,,CAB168L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,AUR11,014U,RAV06,TOYOTA,AURIS,2011,2018,,ZRE152,,,,CAB170V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,BLA07,039L,RAV06,TOYOTA,BELTA,2007,2012,,AZE154,,,,CAB170V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,COR08,059L,RAV06,TOYOTA,COROLLA,2008,2013,,ZRE142,,,,CAB170V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RAV06,170V,,TOYOTA,RAV4,2006,2012,,ACA33,,,,CAB170V167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AUR06,013L,RAV06,TOYOTA,AURIS,2006,2011,,ZRE152,,,,CAB170V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AUR11,014U,RAV06,TOYOTA,AURIS,2011,2018,,ZRE152,,,,CAB170V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,BLA07,039L,RAV06,TOYOTA,BELTA,2007,2012,,AZE154,,,,CAB170V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,COR08,059L,RAV06,TOYOTA,COROLLA,2008,2013,,ZRE142,,,,CAB170V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,RAV06,170V,,TOYOTA,RAV4,2006,2012,,ACA33,,,,CAB170V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,CAB177U168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,ALL01,001L,RUN02,TOYOTA,ALLION,2001,2007,,NZT240,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,ALL07,002L,RUN02,TOYOTA,ALLION,2007,2021,,ZRT260,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,AXI06,029L,RUN02,TOYOTA,AXIO,2006,2011,,NZE141,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,AXI12,030K,RUN02,TOYOTA,AXIO,2012,2018,,NRE160,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,FIL06,071L,RUN02,TOYOTA,FILDER,2006,2012,,NZE121,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RUN02,181L,,TOYOTA,RUNX,2002,2006,,NZE121-AHPNK,,,,CAB181L167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,ALL01,001L,RUN02,TOYOTA,ALLION,2001,2007,,NZT240,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,ALL07,002L,RUN02,TOYOTA,ALLION,2007,2021,,ZRT260,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AXI06,029L,RUN02,TOYOTA,AXIO,2006,2011,,NZE141,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AXI12,030K,RUN02,TOYOTA,AXIO,2012,2018,,NRE160,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FIL06,071L,RUN02,TOYOTA,FILDER,2006,2012,,NZE121,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,RUN02,181L,,TOYOTA,RUNX,2002,2006,,NZE121-AHPNK,,,,CAB181L168
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,SUR95,209M,,TOYOTA,SURF,1995,2000,,KZN130,,,,CAB209M1578
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FUN99,077M,VIT99,TOYOTA,FUNCARGO,1999,2005,,NCP20,,,,CAB221M168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,IST02,103L,VIT99,TOYOTA,IST,2002,2007,,NCP60,,,,CAB221M168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,PORT04,133L,VIT99,TOYOTA,PORTE,2004,2012,,NNP10,,,,CAB221M168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,VIT05,220L,VIT99,TOYOTA,VITZ,2005,2010,,KSP90,,,,CAB221M168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,CARV12,309K,,NISSAN,NISSAN,2012,2022,,CBF-VR2E26,,,,CAB309K167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,CARV12,309K,,NISSAN,NISSAN,2012,2022,,CBF-VR2E26,,,,CAB309K168
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,HAR98,317M,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,CAB317M1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,NP300,342L,HAR98,NISSAN,HARDBODY ,2008,2024,,LDF-D22,,,,CAB317M1578
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,HAR98,317M,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,CAB317M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,NP300,342L,HAR98,NISSAN,HARDBODY ,2008,2024,,LDF-D22,,,,CAB317M1678
CAB,CASQUILHOS DO TRIANGULO,,,L,I,329V,,,NISSAN,MURANO,2004,2007,,CBA-PZ50,,,,CAB329V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,MUR04,329V,QAS06,NISSAN,MURANO,2004,2007,,CBA-PZ50,,,,CAB329V1671
CAB,CASQUILHOS DO TRIANGULO,,,L,O,MUR04,329V,QAS06,NISSAN,MURANO,2004,2007,,CBA-PZ50,,,,CAB329V168
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,NAV05,335V,,NISSAN,NAVARA,2005,2015,,CBA-D40,,,,CAB335V1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,NAV10,336V,NAV05,NISSAN,NAVARA,2010,2015,,LDF-D40,,,,CAB335V1578
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,NAV05,335V,,NISSAN,NAVARA,2005,2015,,CBA-D40,,,,CAB335V1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,NAV10,336V,NAV05,NISSAN,NAVARA,2010,2015,,LDF-D40,,,,CAB335V1678
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,344M,,,NISSAN,PATROL ,1992,1997,,E-WD21,,,,CAB344M1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,SAN86,,,HYUNDAI,SANTA,1986,,,,,,,CAB344M1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,TER99,,,NISSAN,TERRANO ,1999,2006,,KH-R50,,,,CAB344M1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,DUA07,315V,QAS06,NISSAN,DUALS,2007,2013,,DBA-KJ10,,,,CAB349V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,QAS06,349V,,NISSAN,QASHQAI,2006,2013,,DBA-J10,,,,CAB349V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,QAS13,350U,QAS06,NISSAN,QASHQAI,2013,2021,,DBA-J11,,,,CAB349V167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,QAS14,351U,QAS06,NISSAN,QASHQAI,2014,2021,,DBA-J11,,,,CAB349V167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,DUA07,315V,QAS06,NISSAN,DUALS,2007,2013,,DBA-KJ10,,,,CAB349V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,QAS06,349V,,NISSAN,QASHQAI,2006,2013,,DBA-J10,,,,CAB349V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,QAS13,350U,QAS06,NISSAN,QASHQAI,2013,2021,,DBA-J11,,,,CAB349V168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,QAS14,351U,QAS06,NISSAN,QASHQAI,2014,2021,,DBA-J11,,,,CAB349V168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,357Z,,,NISSAN,SENTRA,1987,1990,,E-B12,,,,CAB357Z167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,XTR01,367L,,NISSAN,X-TRAIL,2001,2007,,TA-T30,,,,CAB367L167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AXE03,409L,,MAHINDRA,AXELA,2003,2009,,,,,,CAB409L1368
CAB,CASQUILHOS DO TRIANGULO,,,L,O,AXE08,410L,AXE03,MAHINDRA,AXELA,2008,2013,,,,,,CAB409L1368
CAB,CASQUILHOS DO TRIANGULO,,,L,O,409L,,,MAHINDRA,AXELA,2003,2009,,,,,,CAB409L168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,415M,,,FORD,BANTAM ,1994,1990,,,,,,CAB415M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,DEM03,432L,,MAHINDRA,DEMIO,2003,2007,,,,,,CAB432L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,DEM07,433L,DEM03,MAHINDRA,DEMIO,2007,2014,,,,,,CAB432L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,VER03,463L,DEM03,MAHINDRA,VERISA ,2003,2011,,,,,,CAB432L167
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,BT5007,421L,RAN00,MAHINDRA,BT50,2007,2011,,ALUA07,,,,CAB454L1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,RAN00,454L,RAN07,FORD,RANGER ,2000,2006,,,,,,CAB454L1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,BT5007,421L,RAN00,MAHINDRA,BT50,2007,2011,,ALUA07,,,,CAB454L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RAN00,454L,RAN07,FORD,RANGER ,2000,2006,,,,,,CAB454L167
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,RAN07,455L,RAN00,FORD,RANGER ,2007,2012,,,,,,CAB455L1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RAN07,455L,RAN00,FORD,RANGER ,2007,2012,,,,,,CAB455L167
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,RAN12,456U,RAN00,FORD,RANGER ,2012,2021,,,,,,CAB456U1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,RAN12,456U,RAN00,FORD,RANGER ,2012,2021,,,,,,CAB456U167
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,RAN12,456U,RAN00,FORD,RANGER ,2012,2021,,,,,,CAB456U1678
CAB,CASQUILHOS DO TRIANGULO,,,U,I,DMA04,481V,DTE04,ISUZU,D-MAX,2004,2012,,,,,,CAB481V157
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,DMA04,481V,DTE04,ISUZU,D-MAX,2004,2012,,,,,,CAB481V1578
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,481V,,,ISUZU,D-MAX,2004,2012,,,,,,CAB481V1678
CAB,CASQUILHOS DO TRIANGULO,,,L,IO,DMA04,481V,DTE04,ISUZU,D-MAX,2004,2012,,,,,,CAB481V16780
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,KB250,490L,,ISUZU,KB,2004,2012,,,,,,CAB490L1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,KB2504W,491L,KB250,ISUZU,KB 4WD,2004,2012,,,,,,CAB490L1578
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,KB280,492Z,KB250,ISUZU,KB,1980,1997,,,,,,CAB490L1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,KB250,490L,,ISUZU,KB,2004,2012,,,,,,CAB490L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,KB2504W,491L,KB250,ISUZU,KB 4WD,2004,2012,,,,,,CAB490L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,KB280,492Z,KB250,ISUZU,KB,1980,1997,,,,,,CAB490L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,496Z,,,ISUZU,KBS81,1981,,,,,,,CAB496Z167
CAB,CASQUILHOS DO TRIANGULO,,,U,IO,550L,,,HONDA,ACCORD ,2003,2007,,,,,,CAB550L1578
CAB,CASQUILHOS DO TRIANGULO,,,L,I,550L,,,HONDA,ACCORD ,2003,2007,,,,,,CAB550L167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,550L,,,HONDA,ACCORD ,2003,2007,,,,,,CAB550L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,CRV01,566L,,HONDA,CRV,2001,2006,,,,,,CAB566L3468
CAB,CASQUILHOS DO TRIANGULO,,,L,I,574M,,,HONDA,CRV,1995,2001,,,,,,CAB574M167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,FIT04,575L,,HONDA,FIT,2004,2008,,,,,,CAB575L167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FIT04,575L,,HONDA,FIT,2004,2008,,,,,,CAB575L168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,FIT08,576L,,HONDA,FIT,2008,2014,,,,,,CAB576L167
CAB,CASQUILHOS DO TRIANGULO,,,L,I,FIT11,577K,FIT08,HONDA,FIT,2011,2014,,,,,,CAB576L167
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FIT08,576L,,HONDA,FIT,2008,2014,,,,,,CAB576L168
CAB,CASQUILHOS DO TRIANGULO,,,L,O,FIT11,577K,FIT08,HONDA,FIT,2011,2014,,,,,,CAB576L168
CAB,CASQUILHOS DO TRIANGULO,,,L,I,623L,,,MERCEDES,C280,2007,,,,,,,CAB623L167
CAL,MAXILA,,L,,,HAR98,,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,CAL317M13
CAL,MAXILA,,R,,,HAR98,,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,CAL317M14
CAL,MAXILA,,L,,,BT5007,RAN00,,MAHINDRA,BT50,2007,2011,,ALUA07,,,,CAL454L13
CAL,MAXILA,,L,,,RAN00,,,FORD,RANGER ,2000,2006,,,,,,CAL454L13
CAL,MAXILA,,L,,,RAN07,RAN00,,FORD,RANGER ,2007,2012,,,,,,CAL454L13
CAL,MAXILA,,R,,,BT5007,RAN00,,MAHINDRA,BT50,2007,2011,,ALUA07,,,,CAL454L14
CAL,MAXILA,,R,,,RAN00,,,FORD,RANGER ,2000,2006,,,,,,CAL454L14
CAL,MAXILA,,R,,,RAN07,RAN00,,FORD,RANGER ,2007,2012,,,,,,CAL454L14
CAL,MAXILA,,L,,,DMA04,,,ISUZU,D-MAX,2004,2012,,,,,,CAL481V13
CB,APOIO DO VEIO,R,,,,DYN85,,COA93,TOYOTA,DYNA ,1985,1995,,BU60,,,,CB055M20
CB,APOIO DO VEIO,R,,,,DYN95,,COA93,TOYOTA,DYNA ,1995,1999,,LY230,,,,CB055M20
CB,APOIO DO VEIO,,,,,060Z,,,TOYOTA,COROLLA,1988,1991,,AE92,,,,CB060Z20
CB,APOIO DO VEIO,R,,,,FOR05,,,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,CB091V20
CB,APOIO DO VEIO,,,,,091V,,,TOYOTA,HILUX,2005,2015,,KUN25,,,,CB091V20 
CB,APOIO DO VEIO,R,,,,HIL97,,,TOYOTA,HILUX,1997,2004,,LN106,,,,CB095M20
CB,APOIO DO VEIO,,,,,123M,,,TOYOTA,MARK II,1999,2004,,GX110,,,,CB123M20
CB,APOIO DO VEIO,R,,,,NOA98,,,TOYOTA,NOAH ,1998,2001,,SR40,,,,CB126M20
CB,APOIO DO VEIO,R,,,,HAR98,,,NISSAN,HARDBODY ,1998,2004,,KC-LFD22,,,,CB317M20
CB,APOIO DO VEIO,R,,,,NP300,,,NISSAN,HARDBODY ,2008,2024,,LDF-D22,,,,CB342L20
CB,APOIO DO VEIO,R,,,,RAN00,,,FORD,RANGER ,2000,2006,,,,,,CB454L20
CB,APOIO DO VEIO,R,,,,BT5007,,,MAHINDRA,BT50,2007,2011,,ALUA07,,,,CB455L20
CB,APOIO DO VEIO,R,,,,RAN07,,,FORD,RANGER ,2007,2012,,,,,,CB455L20
CB,APOIO DO VEIO,R,,,,BT5012,,,MAHINDRA,BT50,2012,2020,,,,,,CB456U20
CB,APOIO DO VEIO,R,,,,RAN12,,,FORD,RANGER ,2012,2021,,,,,,CB456U20
CB,APOIO DO VEIO,R,,,,DMA04,,,ISUZU,D-MAX,2004,2012,,,,,,CB481V20
CB,APOIO DO VEIO,R,,,,KB250,,,ISUZU,KB,2004,2012,,,,,,CB490L20
CB,APOIO DO VEIO,R,,,,COL98,,,MITSUBISHI,COLT ,1998,2009,,,,,,CB502M20
CB,APOIO DO VEIO,,,,,507M,,,MITSUBISHI,L200,1995,2006,,,,,,CB507M20
CCVJ,CARDANS COMPLETOS,F,L,,,RUN02,,,TOYOTA,RUNX,2002,2006,,NZE121-AHPNK,,,RSI,CCVJ181L1378
CCVJ,CARDANS COMPLETOS,F,R,,,RUN02,,,TOYOTA,RUNX,2002,2006,,NZE121-AHPNK,,,RSI,CCVJ181L1478
CM,EMBREAGEM DE CIMA,,,U,,COR96,061M,,TOYOTA,COROLLA,1996,2000,,AE110,,,,CM061M15
CM,EMBREAGEM DE CIMA,,,U,,SPA97,201M,COR96,TOYOTA,SPACIO,1997,2001,,AE111N,,,,CM061M15
CM,EMBREAGEM DE CIMA,,,U,,SPR91,203M,RUN02,TOYOTA,SPRINTER ,1991,2000,,AE91,,,,CM061M15
CM,EMBREAGEM DE CIMA,,,U,,DYN95,068M,QUA04,TOYOTA,DYNA ,1995,1999,,LY230,,,,CM068M15
CM,EMBREAGEM DE CIMA,,,U,,HIA92,085M,,TOYOTA,HIACE,1992,2004,,LH107,,,,CM085M15
CM,EMBREAGEM DE CIMA,,,U,,TOY92,212M,QUA04,TOYOTA,TOYOACE ,1992,2024,,YR21,,,,CM085M15
CM,EMBREAGEM DE CIMA,,,U,,AUR06,013L,RAC05,TOYOTA,AURIS,2006,2011,,ZRE152,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,AUR11,014U,RAC05,TOYOTA,AURIS,2011,2018,,ZRE152,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,AXI12,030K,RAC05,TOYOTA,AXIO,2012,2018,,NRE160,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,BLA07,039L,RAC05,TOYOTA,BELTA,2007,2012,,AZE154,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,COR08,059L,RAC05,TOYOTA,COROLLA,2008,2013,,ZRE142,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,FOR05,072V,,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,FUN99,077M,RAC05,TOYOTA,FUNCARGO,1999,2005,,NCP20,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,IST07,104L,RAC05,TOYOTA,IST,2007,2016,,ZSP110,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,RAC05,161L,,TOYOTA,RACTIS,2005,2010,,NCP100,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,U,,SIE03,191L,RAC05,TOYOTA,SIENTA,2003,2015,,NCP81G,,,,CM091V15
CM,EMBREAGEM DE CIMA,,,,,092Z,,,TOYOTA,HILUX,1988,1997,,LN106,,,,CM092Z15
CM,EMBREAGEM DE CIMA,,,U,,HIL95,094M,HIL97,TOYOTA,HILUX,1995,1997,,LN106,,,,CM094M15
CM,EMBREAGEM DE CIMA,,,U,,LAN90,107M,,TOYOTA,LAND CRUISER,1990,1997,,FJ80,,,,CM107M15
CM,EMBREAGEM DE CIMA,,,U,,HIL97,095M,,TOYOTA,HILUX,1997,2004,,LN106,,,,CM147M15
CM,EMBREAGEM DE CIMA,,,U,,SUR95,209M,,TOYOTA,SURF,1995,2000,,KZN130,,,,CM147M15
CM,EMBREAGEM DE CIMA,,,U,,DYN85,067Z,QUA04,TOYOTA,DYNA ,1985,1995,,BU60,,,,CM155L15
CM,EMBREAGEM DE CIMA,,,U,,QUA04,155L,,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,CM155L15
