CAT,CAT NAME (PT),F/R,L/R,U/L,I/O,MODEL,MDL NO,CROSS,CAR,MODEL,ANO DE I.,ANO FI.,TRSS,FRAME,ENGINE,SIZE,REMARK,PART NO.
BJ,ROTULAS,,LR,U,,FOR05,072V,,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,BJ091V345
BJ,ROTULAS,,LR,U,,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,BJ091V345
BJ,ROTULAS,,LR,L,,FOR05,072V,,TOYOTA,FORTUNER,2005,2015,,TGN51,,,,BJ091V346
BJ,ROTULAS,,LR,L,,REV16,177U,HIL05,TOYOTA,HILUX ,2016,2024,,GUN125,,,,BJ091V346
BJ,ROTULAS,,LR,L,,092Z,,,TOYOTA,HILUX,1988,1997,,LN106,,,,BJ092Z346
BJ,ROTULAS,,LR,U,,HIL95,094M,HIL97,TOYOTA,HILUX,1995,1997,,LN106,,,,BJ095M345
BJ,ROTULAS,,LR,U,,HIL97,095M,,TOYOTA,HILUX,1997,2004,,LN106,,,,BJ095M345
BJ,ROTULAS,,L,L,,IS250,102V,MAR05,LEXUS,IS250,2005,2013,,,,,,BJ118V36
BJ,ROTULAS,,L,L,,MAR05,118V,,TOYOTA,MARK X,2005,2017,,GSE20-AETLH,,,,BJ118V36
BJ,ROTULAS,,L,L,,MAR054W,119V,MAR05,TOYOTA,MARK X,2005,2009,,GSE25-AETLH,,,,BJ118V36
BJ,ROTULAS,,R,L,,IS250,102V,MAR05,LEXUS,IS250,2005,2013,,,,,,BJ118V46
BJ,ROTULAS,,R,L,,MAR05,118V,,TOYOTA,MARK X,2005,2017,,GSE20-AETLH,,,,BJ118V46
BJ,ROTULAS,,R,L,,MAR054W,119V,MAR05,TOYOTA,MARK X,2005,2009,,GSE25-AETLH,,,,BJ118V46
BJ,ROTULAS,,L,L,,123M,,,TOYOTA,MARK II,1999,2004,,GX110,,,,BJ123M36
BJ,ROTULAS,,L,L,,CHAI96,,,TOYOTA,CHAISER ,1996,2001,,JZX100,,,,BJ123M36
BJ,ROTULAS,,R,L,,123M,,,TOYOTA,MARK II,1999,2004,,GX110,,,,BJ123M46
BJ,ROTULAS,,R,L,,CHAI96,,,TOYOTA,CHAISER ,1996,2001,,JZX100,,,,BJ123M46
BJ,ROTULAS,,LR,U,,LIT96,114M,,TOYOTA,LITEACE ,1996,2007,,YR21,,,,BJ126M345
